post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
181954620.9b5,,false,,,newsletter,only_paid,,,
181860842.the-peoples-house-how-nashville-metro,2025-12-17T13:30:41.562Z,true,2025-12-17T13:30:41.721Z,2025-12-17T13:30:41.721Z,newsletter,everyone,The People's House: How Nashville Metro Council Is Starting To Reclaim Democratic Oversight from an Autocratic Mayor's Office,"After a bruising night of victories over surveillance, workplace reform, and homeless services accountability, Metro Council must now step into the explicit power they've rediscovered—and use it.",
181814874.manaen-hall-is-not-a-council-member,2025-12-16T18:36:26.616Z,false,2025-12-16T18:36:27.031Z,2025-12-16T18:36:27.031Z,adhoc_email,only_paid,"Manaen Hall is not a Council Member, yet.",Quick correction,
181806338.dispatch-from-the-december-15th-budget,2025-12-16T18:32:23.781Z,true,2025-12-16T18:32:23.962Z,2025-12-16T18:32:23.962Z,newsletter,everyone,Dispatch from the December 15th Budget and Finance Committee Meeting,What happened last night,
181632086.surveillance-mou-there-is-no-amending,2025-12-15T13:31:15.699Z,true,2025-12-15T13:31:15.852Z,2025-12-15T13:31:15.852Z,newsletter,everyone,"{Surveillance MOU} There Is No Use Amending the MOU Resolution, CMs Attempts To Fix It are Making It Worse","Metro Council has 100% oversight over DMC funds. It has 0% oversight over NDP funds. If Metro leaders want to exert oversight on these funds, they should do nothing.",
181607773.the-leaders-nashville-needs-are-being,2025-12-14T18:57:36.033Z,true,2025-12-14T18:57:36.223Z,2025-12-14T18:57:36.223Z,newsletter,everyone,The Leaders Nashville Needs Are Being Recognized,Three young leaders are showing what it takes to design a Nashville we want to stay in.,
181392133.jesus-urbanist-cities-of-shalom-not,2025-12-12T14:03:20.917Z,true,2025-12-12T14:03:21.267Z,2025-12-12T14:03:21.267Z,newsletter,everyone,"FWD: Jesus Urbanist: Cities of Shalom, not Surveillance",Surveillance is not morally neutral.,
181387862.thanksgiving-mou-mnpd-slipped-in,2025-12-15T19:00:35.568Z,true,2025-12-15T19:00:35.742Z,2025-12-15T19:00:35.742Z,newsletter,everyone,Breaking: Same Exec Who Literally Signed Fusus Contracts With Chief Drake Now Has New Surveillance Company in Mayor's MOU,MNPD Chief Signed Fusus Contracts Alongside Executive Surveillance Tech Earmarked In Opaque Legislation Slipped onto Council's Docket Just Before Holiday,
181285061.when-metro-arts-paid-artists-as-vendors,,false,,,newsletter,only_paid,,,
181151328.nashville-banner-evicted-in-nashville,2025-12-09T16:04:58.584Z,true,2025-12-09T16:04:58.947Z,2025-12-09T16:04:58.947Z,newsletter,everyone,"Nashville Banner | Evicted in Nashville: How Tenants, Landlords and the Courts Face the Housing Crisis","More than 1,000 people each month face losing their home; here’s how the city is responding to the problem",
181144094.2e3,,false,,,newsletter,only_paid,,,
180796980.decorum-applies-to-me-too,2025-12-05T16:31:23.531Z,true,2025-12-05T16:31:23.704Z,2025-12-05T16:31:23.704Z,newsletter,everyone,Decorum applies to me too,It's on brand for me to acknowledge when I don't live up to my own standards,
180753721.bb6,,false,,,newsletter,only_paid,,,
180674150.the-surveillance-mou-leaked-records,2025-12-04T13:31:40.793Z,true,2025-12-04T13:31:41.003Z,2025-12-04T13:31:41.003Z,newsletter,everyone,{Thanksgiving MOU} State Records Reveal Nashville Downtown Partnership Was Never Getting the $15M,"The real ""misinformation"" at the heart of Freddie's deal with NDP",
180666871.stray-notes-on-nashvilles-homelessness,2025-12-04T05:14:23.987Z,false,,,newsletter,everyone,Stray Notes on Nashville's Homelessness Strategy,Just posting this here so I don't lose it.,
180570292.dont-let-electoralism-convince-you,2025-12-03T06:20:47.772Z,true,2025-12-03T06:20:47.936Z,2025-12-03T06:20:47.936Z,newsletter,everyone,"Don't Let ""Electoralism"" Convince You Yesterday Was A Defeat in District 7 ",Aftyn’s slogan was not a promise. Its an instruction manual. ,
180530994.new-surveillance-tech-requires-a,2025-12-02T19:42:16.467Z,true,2025-12-02T19:42:16.700Z,2025-12-02T19:42:16.700Z,newsletter,everyone,"New surveillance tech requires a public hearing. But our politicians are pretending it's ""not surveillance."" ","But we're the ones spreading ""misinformation""...",
180481712.award-winning-truthoutorg-published,2025-12-03T20:42:39.962Z,true,2025-12-03T20:42:40.133Z,2025-12-03T20:42:40.133Z,newsletter,everyone,Award Winning Truthout.org Published My Reporting About Freddie's Surveillance MOU,"My concerns about Freddie's surveillance MOU, many of the same issues the Mayor's Office has called ""misinformation,"" was reviewed by professional editors and fact checkers.",
180449148.remind-me-what-time-youre-voting,2025-12-01T22:24:33.133Z,true,2025-12-01T22:24:33.423Z,2025-12-01T22:24:33.423Z,newsletter,everyone,Remind me what time you're voting tomorrow?,"District 7, if you didn't early vote, get to the polls tomorrow!",
180444437.i-was-hoping-national-surveillance,,false,,,newsletter,only_paid,,,
180442511.3e4,,false,,,newsletter,only_paid,,,
180353063.debunking-the-mayors-offices-surveillance,2025-12-01T13:45:34.774Z,true,2025-12-01T13:45:34.964Z,2025-12-01T13:45:34.964Z,newsletter,everyone,"The Mayor's Office Calls Surveillance Reporting ""Misinformation."" Here's What the Documents Actually Say.","Does the Mayor's Office only claim to care about NDP ""oversight"" when it facilitates controversial surveillance tech it couldn't get through Council?",
180228745.sorry-who-asked-for-the-armored-vehicle,,false,,,newsletter,everyone,,,
180083598.misinformation-or-inconvenient-truth,,false,,,newsletter,everyone,,,
179998581.ibm-the-holocaust-and-oracle,2025-11-26T06:45:50.357Z,true,,,newsletter,everyone,"IBM, The Holocaust, And Oracle","In 1977, Larry Ellison and his start-up co-founders spun a CIA contract called “Project Oracle” into the company it is today.",
179971483.from-the-makers-of-fusus-literally,2025-11-26T14:30:49.232Z,true,2025-11-26T14:30:49.400Z,2025-11-26T14:30:49.400Z,newsletter,everyone,"From the Makers of Fusus (literally): Meet ""LeoSight"" | Mayor's MOU Resurrects Rejected Surveillance Tools Under New Branding",The former Chief Revenue Officer of FUSUS started a company in March. Now they're up for a piece of the $15M the Mayor wants to give the Nashville Downtown Partnership. Funny how that works.,
